Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
buy cabergoline,8,8,210,9,0.85,https://steroids-uk.com/product-category/cabaser/,5,0.15,4.00,0.08,67,"32, 32, 14, 26, 14, 26, 11, 17, 17, 14, 14, 17",2026-09-04,Related searches,transactional,Organic
test 400 cycle,3,3,210,10,0.00,https://steroids-uk.com/blog/test-400/,5,0.15,0.00,0.05,189,"66, 81, 81, 66, 54, 43, 35, 14, 8, 35, 22, 54",2026-07-19,"Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
tri test,2,2,170,3,0.00,https://steroids-uk.com/shop/tri-test-400-spharmaqo-labs/,5,0.15,0.00,0.04,107,"52, 80, 80, 52, 80, 80, 66, 80, 100, 80, 80, 80",2026-08-09,"Video, People also ask, Related searches, AI overview",informational,Organic
deus medical,2,2,210,23,0.00,https://steroids-uk.com/product-category/manufacturers/deus-medical/,5,0.15,0.00,0.33,92,"43, 43, 65, 43, 43, 100, 100, 100, 53, 65, 53, 53",2026-09-06,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
hgh for sale uk,7,7,170,27,0.00,https://steroids-uk.com/product-category/growth-hormone/,5,0.15,0.00,0.01,140,"9, 65, 65, 100, 43, 53, 34, 43, 34, 43, 43, 34",2026-08-26,Related searches,transactional,Organic
hgh uk,11,11,480,28,2.91,https://steroids-uk.com/product-category/growth-hormone/,4,0.12,11.00,0.02,157,"44, 100, 44, 54, 54, 54, 44, 66, 66, 54, 66, 66",2026-08-26,"Video, People also ask, Related searches",commercial,Organic
steroxxe,11,11,480,23,1.83,https://steroids-uk.com/,4,0.12,7.00,1,959,"20, 20, 100, 24, 8, 24, 1, 0, 0, 0, 20, 20",2026-07-21,AI overview,informational,Organic
clen tablets price,5,5,170,19,0.00,https://steroids-uk.com/product-category/clenbuterol/,4,0.12,0.00,0.01,61,"65, 21, 53, 100, 65, 43, 43, 81, 53, 53, 34, 43",2026-08-30,"People also ask, Related searches, AI overview",commercial,Organic
best steroids for cutting,8,8,170,27,0.00,https://steroids-uk.com/product-category/cutting/,4,0.12,0.00,0.12,22700000,"29, 19, 12, 15, 15, 15, 12, 19, 23, 12, 23, 19",2026-08-12,AI overview,commercial,Organic
clenbuterol tablet price,6,6,140,24,0.00,https://steroids-uk.com/product-category/clenbuterol/,4,0.12,0.00,0.02,66,"100, 82, 66, 12, 28, 7, 35, 17, 10, 35, 2, 53",2026-09-09,"Related searches, AI overview",commercial,Organic
buy anavar uk,11,11,480,28,0.00,https://steroids-uk.com/product-category/anavar/,4,0.12,0.00,0,266000,"3, 20, 11, 7, 55, 7, 5, 30, 11, 8, 0, 16",2026-09-08,AI overview,informational,Organic
buy anavar online,10,10,210,22,0.00,https://steroids-uk.com/product-category/anavar/,4,0.12,0.00,0,687000,"1, 8, 8, 4, 3, 1, 4, 100, 4, 3, 1, 1",2026-08-14,,transactional,Organic
anavar for sale uk,11,11,260,3,0.00,https://steroids-uk.com/product-category/anavar/,4,0.12,0.00,0.01,135000,"43, 100, 53, 82, 82, 66, 28, 53, 53, 82, 100, 66",2026-07-31,,transactional,Organic
tamoxifen purchase,6,6,110,11,0.91,https://steroids-uk.com/product-category/nolvadex/,3,0.09,2.00,0.05,43,"64, 64, 64, 41, 64, 41, 41, 82, 64, 64, 64, 100",2026-07-25,"People also ask, Related searches, AI overview",transactional,Organic
winstrol uk muscle,6,6,110,22,0.00,https://steroids-uk.com/product-category/winstrol/,3,0.09,0.00,0.02,110,"34, 43, 53, 43, 6, 6, 9, 6, 15, 53, 43, 53",2026-08-28,"Related searches, AI overview",informational,Organic
pct tablet,4,4,90,6,0.92,https://steroids-uk.com/product-category/pct/,3,0.09,2.00,1,92,"65, 34, 19, 15, 19, 34, 42, 42, 26, 34, 34, 42",2026-08-19,"People also ask, Related searches, AI overview",informational,Organic
anavar uk,18,18,1000,11,1.14,https://steroids-uk.com/blog/category/anavar-guide,3,0.09,3.00,0.02,0,"24, 24, 20, 24, 27, 36, 27, 24, 27, 20, 36, 20",2026-07-28,AI overview,informational,Organic
best hgh uk,9,9,140,24,0.00,https://steroids-uk.com/product-category/growth-hormone/,3,0.09,0.00,0.06,155,"6, 100, 22, 22, 29, 35, 10, 14, 14, 29, 29, 14",2026-08-06,"Video, People also ask, Related searches, AI overview",commercial,Organic
pct tabs,4,4,90,29,0.92,https://steroids-uk.com/product-category/pct/,3,0.09,2.00,1,103,"65, 34, 15, 15, 19, 34, 42, 42, 26, 26, 34, 42",2026-08-19,"People also ask, Related searches, AI overview",informational,Organic
best steroid for cutting,9,0,140,23,1.75,https://steroids-uk.com/product-category/cutting/,3,0.09,5.00,0.12,19800000,"29, 23, 19, 19, 15, 7, 15, 10, 12, 23, 10, 10",2026-09-12,AI overview,commercial,Organic
pharmacom labs,7,7,140,8,0.00,https://steroids-uk.com/blog/pharmacom/,3,0.09,0.00,0.14,95,"23, 80, 100, 66, 100, 66, 52, 66, 52, 52, 66, 66",2026-08-09,"Related searches, AI overview",informational,Organic
growth hormone uk buy,6,6,110,24,2.46,https://steroids-uk.com/product-category/growth-hormone/,3,0.09,7.00,0.1,68,"26, 42, 100, 34, 34, 34, 34, 42, 42, 34, 26, 26",2026-09-09,"People also ask, Related searches, AI overview",transactional,Organic
trenbolone uk,8,8,260,15,1.05,https://steroids-uk.com/product-category/trenbolone/,3,0.09,3.00,0.09,148,"19, 15, 44, 54, 54, 44, 29, 29, 29, 12, 44, 100",2026-07-26,"People also ask, Related searches, AI overview",informational,Organic
kamagra uk next day delivery,8,8,140,25,4.42,https://steroids-uk.com/shop/shopkamagra-jelly/,3,0.09,13.00,0.42,56,"4, 21, 21, 11, 17, 14, 14, 21, 11, 14, 11, 11",2026-08-29,Related searches,commercial,Organic
where to purchase anavar,7,7,140,29,0.00,https://steroids-uk.com/product-category/anavar/,3,0.09,0.00,0.33,256000,"53, 26, 42, 65, 65, 53, 53, 80, 53, 100, 53, 65",2026-09-03,"Local pack, AI overview",transactional,Organic
400 test,5,5,90,7,1.51,https://steroids-uk.com/blog/test-400/,3,0.09,4.00,0.34,170,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0",2026-07-19,"Sitelinks, People also ask, Related searches",informational,Organic
buy tiromel online uk,7,7,140,23,0.00,https://steroids-uk.com/product-category/t3/,3,0.09,0.00,0.05,2260,"9, 80, 80, 80, 80, 80, 52, 52, 66, 52, 52, 52",2026-08-23,"Sitelinks, Reviews, Image, People also ask, Related searches, AI overview",transactional,Organic
steroids uk hcg,7,7,110,28,0.00,https://steroids-uk.com/shop/hcg-pharmaqolabs/,3,0.09,0.00,0.33,75,"2, 2, 2, 2, 2, 2, 100, 2, 2, 15, 15, 10",2026-09-09,Related searches,commercial,Organic
buy hgh uk,13,13,390,22,1.62,https://steroids-uk.com/product-category/growth-hormone/,2,0.06,3.00,0.04,160,"13, 100, 16, 20, 25, 25, 13, 11, 13, 8, 16, 7",2026-08-13,Related searches,transactional,Organic
critical anabolics,17,17,590,7,0.00,https://steroids-uk.com/product-category/manufacturers/proper-labs/,2,0.06,0.00,0.01,92,"39, 26, 48, 26, 39, 48, 59, 100, 59, 88, 48, 59",2026-08-29,,commercial,Organic
pharma labs steroids,10,10,140,26,0.00,https://steroids-uk.com/product-category/manufacturers/pharmaqo-labs/,2,0.06,0.00,0.03,95,"65, 42, 53, 80, 26, 42, 53, 80, 42, 42, 65, 42",2026-08-18,"People also ask, Related searches",informational,Organic
upsteroids,25,25,1900,9,0.00,https://steroids-uk.com/product-category/oral/,2,0.06,0.00,0.33,56,"0, 0, 0, 0, 0, 54, 100, 0, 0, 0, 0, 0",2026-09-08,AI overview,informational,Organic
pharmaqo,18,18,720,9,0.86,https://steroids-uk.com/product-category/manufacturers/pharmaqo-labs/,2,0.06,1.00,0.04,139000,"55, 55, 67, 67, 76, 67, 30, 67, 67, 67, 67, 55",2026-09-01,AI overview,informational,Organic
anavar buy online,11,11,210,24,0.00,https://steroids-uk.com/product-category/anavar/,2,0.06,0.00,0.33,690000,"35, 43, 28, 43, 12, 53, 66, 82, 53, 100, 53, 100",2026-08-30,AI overview,transactional,Organic
oxy steroids for sale,8,8,110,15,0.00,https://steroids-uk.com/product-category/anadrol-buy/,2,0.06,0.00,0.66,62300,"2, 2, 2, 0, 0, 2, 0, 100, 0, 0, 2, 2",2026-09-08,AI overview,transactional,Organic
best cutting steroid,9,9,110,22,0.00,https://steroids-uk.com/product-category/cutting/,2,0.06,0.00,0.12,18400000,"11, 11, 9, 7, 9, 11, 9, 17, 5, 14, 14, 11",2026-08-27,AI overview,commercial,Organic
cabergoline buy,4,4,90,5,0.95,https://steroids-uk.com/product-category/cabaser/,2,0.06,1.00,0.06,19,"21, 50, 78, 21, 78, 64, 78, 64, 50, 100, 100, 78",2026-07-20,"People also ask, Related searches",transactional,Organic
steds n meds,12,12,210,16,0.00,https://steroids-uk.com/,2,0.06,0.00,0.01,97,"82, 82, 82, 53, 100, 66, 100, 28, 23, 23, 17, 12",2026-08-27,,commercial,Organic
test 500,10,10,320,13,1.12,https://steroids-uk.com/shop/eq-test-500mg-pharmaqo-labs/,2,0.06,2.00,1,110,"100, 54, 54, 54, 81, 54, 44, 54, 44, 54, 54, 23",2026-08-09,"People also ask, Related searches, AI overview",informational,Organic
sustanon 250 uk buy,9,9,90,14,1.14,https://steroids-uk.com/product-category/sustanon/,2,0.06,2.00,0.13,46,"64, 41, 52, 41, 41, 100, 82, 41, 52, 64, 41, 41",2026-07-23,"People also ask, Related searches",transactional,Organic
test 400 steroid,6,6,110,8,0.00,https://steroids-uk.com/blog/test-400/,2,0.06,0.00,0.24,105,"17, 28, 23, 28, 35, 28, 17, 28, 17, 35, 28, 23",2026-07-25,"Video, People also ask, Related searches, AI overview",informational,Organic
buy hcg online uk,11,11,170,5,3.65,https://steroids-uk.com/product-category/hcg/,2,0.06,7.00,0.12,93,"9, 28, 81, 65, 81, 65, 43, 53, 100, 43, 21, 15",2026-08-06,"Sitelinks, Related searches",transactional,Organic
uk steroids shop,30,30,1600,28,1.27,https://steroids-uk.com/product-category/bulking/,2,0.06,2.00,0.02,9530000,"36, 36, 54, 22, 29, 54, 36, 16, 29, 43, 29, 54",2026-07-31,,commercial,Organic
order anavar online,11,11,210,18,0.00,https://steroids-uk.com/product-category/anavar/,2,0.06,0.00,0.33,564000,"35, 28, 28, 10, 7, 53, 66, 82, 53, 100, 53, 100",2026-08-22,AI overview,commercial,Organic
buy arimidex,9,9,110,12,0.00,https://steroids-uk.com/shop/armidex-proper-labs/,2,0.06,0.00,0.03,84,"64, 52, 64, 64, 52, 64, 64, 41, 64, 64, 64, 52",2026-07-28,"People also ask, Related searches",transactional,Organic
test 200,10,10,90,25,1.74,https://steroids-uk.com/shop/testosterone-cypionate-proper-labs/,1,0.03,1.00,0.46,54,"78, 78, 78, 64, 50, 64, 64, 64, 50, 100, 78, 64",2026-07-21,"People also ask, Related searches",informational,Organic
buy t3,11,11,90,9,0.53,https://steroids-uk.com/product-category/t3/,1,0.03,0.00,0.96,89,"52, 52, 64, 100, 64, 52, 41, 52, 29, 41, 64, 82",2026-08-28,AI overview,informational,Organic
supreme steroids,32,32,1900,19,1.11,https://steroids-uk.com/product-category/methyldrostanolone/,1,0.03,1.00,0.01,132,"100, 24, 44, 100, 27, 80, 66, 66, 52, 80, 20, 44",2026-08-24,Related searches,commercial,Organic
supreme steroids,38,38,1900,19,1.11,https://steroids-uk.com/product-category/oral/,1,0.03,1.00,0.01,132,"100, 24, 44, 100, 27, 80, 66, 66, 52, 80, 20, 44",2026-08-24,Related searches,commercial,Organic
clenbuterol for sale,14,14,260,4,0.00,https://steroids-uk.com/product-category/fat-loss/,1,0.03,0.00,0.1,64,"3, 10, 10, 7, 4, 3, 4, 4, 3, 5, 3, 4",2026-08-27,"Related searches, AI overview",transactional,Organic
buy clomid,11,11,390,26,1.18,https://steroids-uk.com/product-category/clomid/,1,0.03,1.00,0.13,77,"66, 44, 44, 54, 44, 66, 54, 66, 66, 81, 54, 44",2026-07-23,"People also ask, Related searches",transactional,Organic
upsteroids,36,36,1900,9,0.00,https://steroids-uk.com/,1,0.03,0.00,0.33,56,"0, 0, 0, 0, 0, 54, 100, 0, 0, 0, 0, 0",2026-09-08,AI overview,informational,Organic
uksteroidshop,34,34,2400,8,1.40,https://steroids-uk.com/,1,0.03,1.00,0.02,4710,"54, 100, 54, 65, 81, 54, 43, 43, 43, 43, 43, 43",2026-07-26,,informational,Organic
dianabol online buy,13,13,170,11,0.74,https://steroids-uk.com/product-category/dianabol/,1,0.03,0.00,0.03,452000,"100, 5, 1, 1, 8, 10, 6, 10, 1, 6, 5, 5",2026-09-02,AI overview,transactional,Organic
steroid sanctuary,19,19,390,26,0.00,https://steroids-uk.com/product-category/injectable/,1,0.03,0.00,0.01,70,"54, 54, 44, 44, 44, 54, 66, 100, 66, 81, 100, 100",2026-08-02,AI overview,navigational,Organic
dianabol for sale uk,16,16,320,16,0.79,https://steroids-uk.com/shop/dianabol25-proper-labs/,1,0.03,0.00,0.04,172000,"100, 67, 76, 3, 5, 2, 3, 5, 3, 5, 8, 8",2026-07-19,,transactional,Organic
500mg test,8,8,90,26,2.13,https://steroids-uk.com/shop/eq-test-500mg-pharmaqo-labs/,1,0.03,2.00,0.94,117,"78, 78, 50, 78, 28, 28, 100, 50, 50, 50, 50, 50",2026-08-18,"People also ask, Related searches, AI overview",informational,Organic
uk steroids hcg,11,0,140,26,0.00,https://steroids-uk.com/shop/hcg-eutrig-hp/,1,0.03,0.00,0.33,77,"0, 0, 0, 4, 100, 81, 43, 43, 29, 35, 6, 4",2026-09-12,"People also ask, Related searches",commercial,Organic
testosterone base,38,38,6600,29,2.04,https://steroids-uk.com/shop/testo-base-100-testosterone-base-syncom-labs/,1,0.03,2.00,0.33,108,"1, 0, 7, 0, 0, 0, 81, 100, 29, 100, 10, 81",2026-09-05,"Video, Image, People also ask, Related searches, AI overview",informational,Organic
order dianabol online,11,11,170,8,0.74,https://steroids-uk.com/product-category/dianabol/,1,0.03,0.00,0.03,434000,"100, 5, 1, 1, 8, 10, 6, 10, 1, 6, 5, 5",2026-09-02,AI overview,commercial,Organic
pharmaqo labs,26,26,720,16,1.14,https://steroids-uk.com/product-category/manufacturers/pharmaqo-labs/,1,0.03,1.00,0.05,140000,"81, 81, 55, 55, 55, 45, 36, 45, 20, 36, 36, 30",2026-08-03,AI overview,informational,Organic
hcg for sale,13,13,210,22,0.00,https://steroids-uk.com/product-category/hcg/,1,0.03,0.00,0.02,96,"17, 28, 82, 82, 35, 35, 28, 43, 66, 66, 53, 35",2026-08-13,"People also ask, Related searches",transactional,Organic
pharma labs uk,17,17,390,19,1.58,https://steroids-uk.com/product-category/manufacturers/pharma-grade-manufacturers/,1,0.03,1.00,0.61,100,"48, 26, 100, 39, 26, 59, 48, 32, 48, 21, 11, 21",2026-08-30,"People also ask, Related searches",informational,Organic
testosterone 400,14,14,260,5,1.30,https://steroids-uk.com/blog/test-400/,1,0.03,1.00,0.25,104,"20, 30, 45, 6, 8, 16, 20, 8, 6, 10, 24, 10",2026-07-30,"People also ask, Popular products, Related searches",informational,Organic
cabaser,13,13,260,12,0.00,https://steroids-uk.com/product-category/cabaser/,1,0.03,0.00,0,56,"4, 5, 4, 100, 3, 4, 2, 1, 3, 3, 25, 3",2026-07-26,"People also ask, Related searches, AI overview",informational,Organic
hcg buy uk,11,11,110,14,3.15,https://steroids-uk.com/product-category/hcg/,1,0.03,3.00,0.05,75,"19, 33, 80, 80, 52, 52, 52, 66, 80, 66, 42, 80",2026-08-31,Related searches,transactional,Organic
critical labs steroids,10,10,170,9,0.00,https://steroids-uk.com/product-category/manufacturers/proper-labs/,1,0.03,0.00,0.01,98,"18, 3, 28, 18, 8, 8, 44, 100, 54, 8, 18, 44",2026-08-27,,commercial,Organic
buy clomid uk,14,14,390,15,1.39,https://steroids-uk.com/product-category/clomid/,1,0.03,1.00,0.18,69,"66, 66, 66, 100, 66, 54, 54, 66, 44, 36, 36, 29",2026-08-22,"Sitelinks, People also ask, Related searches, AI overview",transactional,Organic
anavar buy uk,17,17,590,26,0.00,https://steroids-uk.com/shop/anavar-50-pharmaqo-labs/,1,0.03,0.00,0.33,457000,"36, 45, 36, 36, 30, 36, 55, 30, 30, 30, 45, 45",2026-07-25,AI overview,transactional,Organic
dianabol for sale,12,12,210,8,1.11,https://steroids-uk.com/shop/dianabol25-proper-labs/,1,0.03,1.00,0.1,313000,"54, 19, 23, 19, 23, 23, 23, 23, 19, 29, 19, 19",2026-09-01,AI overview,transactional,Organic
critical labs uk,9,9,260,12,4.23,https://steroids-uk.com/product-category/manufacturers/proper-labs/,1,0.03,4.00,0.03,105,"0, 2, 5, 2, 6, 9, 36, 100, 54, 54, 29, 100",2026-08-17,"Video, People also ask, Related searches",commercial,Organic
uksteroidshop reviews,12,12,170,20,0.00,https://steroids-uk.com/,1,0.03,0.00,0.01,1610,"0, 65, 100, 100, 80, 65, 100, 100, 65, 42, 65, 42",2026-08-05,AI overview,commercial,Organic
anavar buy,22,22,880,22,0.93,https://steroids-uk.com/product-category/anavar/,1,0.03,0.00,0.01,614000,"31, 37, 31, 84, 46, 52, 37, 68, 31, 84, 52, 37",2026-08-26,,transactional,Organic
deuschem,10,10,140,22,0.00,https://steroids-uk.com/product-category/manufacturers/deus-medical/,1,0.03,0.00,0.03,39,"82, 100, 82, 82, 82, 100, 100, 100, 82, 82, 82, 52",2026-08-18,"Reviews, Related searches, AI overview","commercial, informational",Organic
anavar purchase,16,16,320,22,0.93,https://steroids-uk.com/product-category/anavar/,1,0.03,0.00,0.01,201000,"68, 8, 1, 1, 1, 1, 1, 52, 1, 25, 1, 25",2026-08-03,AI overview,informational,Organic
