Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
deca steroid,19,19,1000,68,2.04,https://steroids-uk.com/product-category/deca/,1,0.05,2.00,0.05,0,"34, 34, 34, 44, 44, 44, 30, 44, 34, 34, 44, 34",2026-09-06,"People also ask, AI overview",informational,Organic
trenbolone acetate price 10ml,6,6,1000,43,0.00,https://steroids-uk.com/product-category/trenbolone/,24,1.31,0.00,0,0,"10, 54, 54, 36, 41, 79, 100, 41, 66, 0, 0, 0",2026-07-25,"Reviews, People also ask, Related searches, AI overview",commercial,Organic
anavar order,9,9,1000,21,0.93,https://steroids-uk.com/product-category/anavar/,22,1.2,20.00,0.01,0,"68, 8, 37, 84, 52, 52, 31, 52, 46, 84, 37, 68",2026-08-21,"Reviews, AI overview",commercial,Organic
kamagra oral jelly where to buy,6,6,1000,55,0.00,https://steroids-uk.com/shop/shopkamagra-jelly/,6,0.32,0.00,0,0,"41, 36, 100, 41, 36, 41, 54, 41, 41, 41, 54, 0",2026-07-27,"Local pack, Reviews, Related searches",transactional,Organic
purchase anavar,11,11,1000,6,0.83,https://steroids-uk.com/shop/anavar-10-pharmaqo-labs/,13,0.71,10.00,0.33,0,"84, 68, 8, 37, 84, 52, 52, 31, 52, 46, 52, 37",2026-07-29,"Reviews, AMP, AI overview",transactional,Organic
best site to buy testosterone online uk,7,7,1000,39,1.98,https://steroids-uk.com/product-category/testosterones/,22,1.2,43.00,1,0,"45, 45, 55, 62, 81, 81, 62, 55, 81, 100, 81, 81",2026-07-23,"Sitelinks, People also ask, Related searches",commercial,Organic
steroids-uk,8,8,1000,52,0.73,https://steroids-uk.com/,6,0.32,4.00,0.04,0,"24, 30, 11, 30, 20, 100, 55, 24, 20, 24, 34, 16",2026-08-01,"Sitelinks, Reviews, AI overview",navigational,Organic
kamagra oral jelly uk,14,14,1000,53,0.00,https://steroids-uk.com/shop/shopkamagra-jelly/,4,0.21,0.00,0,0,"13, 16, 16, 16, 16, 20, 20, 100, 43, 36, 0, 0",2026-08-20,"Reviews, Image, People also ask, Related searches",informational,Organic
eroids uk,15,15,1000,30,0.00,https://steroids-uk.com/product-category/bulking/,0,0,0.00,0.01,0,"24, 20, 100, 44, 36, 36, 24, 24, 20, 10, 10, 27",2026-08-05,"Sitelinks, Related searches",navigational,Organic
eroids uk,9,9,1000,30,0.00,https://steroids-uk.com/,5,0.27,0.00,0.01,0,"24, 20, 100, 44, 36, 36, 24, 24, 20, 10, 10, 27",2026-08-05,"Sitelinks, Related searches",navigational,Organic
anavar uk,10,10,880,30,1.43,https://steroids-uk.com/blog/category/anavar-guide/,11,0.6,15.00,0.02,0,"24, 20, 24, 27, 36, 27, 24, 27, 20, 36, 20, 16",2026-09-03,"Reviews, AI overview",commercial,Organic
hgh injections,17,17,880,76,2.17,https://steroids-uk.com/product-category/growth-hormone/,1,0.05,2.00,0.02,0,"59, 88, 88, 100, 72, 88, 88, 100, 72, 72, 72, 72",2026-07-23,"Featured images, People also ask, Related searches, AI overview",informational,Organic
testosterone uk buy,15,15,880,44,2.17,https://steroids-uk.com/product-category/testosterones/,2,0.1,4.00,1,0,"7, 7, 68, 11, 31, 68, 52, 52, 68, 84, 100, 7",2026-09-01,"Sitelinks, Reviews, People also ask, Related searches",informational,Organic
anavar buy,18,18,880,11,0.93,https://steroids-uk.com/product-category/anavar/,2,0.1,1.00,0.01,0,"31, 37, 31, 84, 46, 52, 37, 68, 31, 84, 52, 37",2026-08-11,"AMP, AI overview",transactional,Organic
clen tablets,9,9,880,63,1.46,https://steroids-uk.com/product-category/clenbuterol/,11,0.6,16.00,0.11,0,"36, 5, 7, 10, 52, 16, 13, 4, 27, 16, 16, 100",2026-07-31,"Reviews, Image, People also ask, Related searches, AI overview",informational,Organic
uksteroidsshop,17,17,720,39,1.27,https://steroids-uk.com/,0,0,0.00,0.02,0,"16, 30, 16, 20, 20, 36, 16, 41, 30, 54, 41, 41",2026-07-30,Sitelinks,navigational,Organic
pharmaqo,5,5,720,18,0.86,https://steroids-uk.com/product-category/manufacturers/pharmaqo-labs/,21,1.15,18.00,0.04,0,"55, 55, 67, 67, 76, 67, 30, 67, 67, 67, 67, 55",2026-08-06,"Image, Related searches, AI overview",informational,Organic
testosterone propionate,8,8,720,52,2.26,https://steroids-uk.com/shop/testosterone-propionate-proper-labs/,13,0.71,29.00,0.09,0,"59, 59, 88, 59, 88, 72, 88, 100, 72, 72, 48, 59",2026-07-24,"Video, Image, People also ask, Related searches, AI overview",informational,Organic
pharmaqo labs,12,12,720,5,1.14,https://steroids-uk.com/product-category/manufacturers/pharmaqo-labs/,6,0.32,6.00,0.05,0,"81, 81, 55, 55, 55, 45, 36, 45, 20, 36, 36, 30",2026-08-29,AI overview,informational,Organic
mk 677 uk,14,14,720,13,0.00,https://steroids-uk.com/product-category/ibutamoren-mk-677/,2,0.1,0.00,0,0,"7, 5, 65, 7, 55, 100, 7, 11, 13, 11, 8, 5",2026-07-27,"Reviews, People also ask, Related searches",commercial,Organic
steroids-uk.com,14,14,720,53,0.00,https://steroids-uk.com/blog/category/legal-and-ethical-considerations/,1,0.05,0.00,0.01,0,"8, 0, 16, 31, 52, 100, 46, 5, 37, 37, 52, 52",2026-08-17,"Sitelinks, Reviews","commercial, navigational",Organic
steroids-uk.com,11,11,720,53,0.00,https://steroids-uk.com/product-category/best-salles/,3,0.16,0.00,0.01,0,"8, 0, 16, 31, 52, 100, 46, 5, 37, 37, 52, 52",2026-08-17,"Sitelinks, Reviews","commercial, navigational",Organic
steroids-uk.com,1,1,720,53,0.00,https://steroids-uk.com/,576,31.56,0.00,0.01,0,"8, 0, 16, 31, 52, 100, 46, 5, 37, 37, 52, 52",2026-08-17,"Sitelinks, Reviews","commercial, navigational",Organic
boldenone undecylenate,15,15,720,57,0.00,https://steroids-uk.com/product-category/boldenone/,2,0.1,0.00,0.01,0,"48, 59, 59, 72, 72, 72, 59, 100, 72, 88, 72, 59",2026-09-04,"Image, People also ask, Related searches, AI overview",informational,Organic
steroids for sale uk,18,18,720,43,0.59,https://steroids-uk.com/product-category/manufacturers/pharma-grade-manufacturers/,2,0.1,1.00,0.06,0,"62, 100, 36, 100, 81, 36, 24, 16, 24, 55, 36, 36",2026-07-20,Reviews,transactional,Organic
testosterone for sale,9,9,590,44,1.34,https://steroids-uk.com/product-category/testosterones/,2,0.1,2.00,1,0,"66, 81, 81, 81, 100, 100, 66, 100, 81, 81, 66, 81",2026-08-14,"Reviews, Image, People also ask, Related searches, AI overview",transactional,Organic
steroid uk,17,17,590,45,0.73,https://steroids-uk.com/,1,0.05,0.00,0.04,0,"3, 5, 22, 16, 5, 20, 7, 16, 8, 10, 13, 10",2026-08-10,AI overview,informational,Organic
buying steroids online,19,19,590,42,0.97,https://steroids-uk.com/product-category/bulking/,1,0.05,0.00,0.01,0,"13, 3, 31, 4, 2, 4, 8, 52, 46, 84, 52, 84",2026-07-20,"Reviews, AI overview",informational,Organic
