from_page,to_page,anchor_text,link_role,priority
/category/hgh,/product/qomatropin-12mg-36iu-cartridge-pharmaqo-labs,buy hgh uk,outbound,High
/category/pct,/product/clomid-pharmaqo-labs,buy clomid,outbound,High
/category/pct,/,buy clomid uk,outbound,High
/category/sarms,/product/mk677-ibutamoren-liquid-25mg-30ml-syncom-labs,mk677 for sale,outbound,High
/blog,/shop?q=dianabol,dianabol before and after,outbound,Low
/category/accessories,/,buy steroids uk,inbound,High
/category/accessories,/product/needles-syringes,peptide needles,outbound,High
/category/accessories,/product/hgh-syringe,peptide needles,outbound,High
/about-us,/,uk steroids shop review,inbound,Medium
/about-us,/faq,uk steroids shop review,outbound,Medium
/category/pct,/shop?q=clomid,buy clomid online,outbound,High
/product/testosterone-enanthate-proper-labs,/,buy steroids uk,inbound,High
/product/testosterone-enanthate-proper-labs,/shop?q=testosterone,test 300,outbound,High
/product/tri-test-400-spharmaqo-labs,/,buy steroids uk,inbound,Medium
/product/tri-test-400-spharmaqo-labs,/brand/pharmaqo-labs,testabol 400,outbound,Medium
/product/hcg-pharmaqolabs,/category/pct,buy hcg uk,outbound,High
/shop?q=testosterone,/,buy steroids uk,inbound,Medium
/shop?q=testosterone,/category/injectable,test 500,outbound,Medium
/product/dianabol25-proper-labs,/,buy steroids uk,inbound,High
/product/dianabol25-proper-labs,/category/oral,dianabol for sale uk,outbound,High
/product/dianabol25-proper-labs,/shop?q=dianabol,dianabol for sale uk,outbound,High
/shop?q=anavar,/product/anavar10-proper-labs,anavar purchase,outbound,Medium
/product/hcg-pharmaqolabs,/shop?q=hcg,hcg 5000iu,outbound,Medium
/blog,/cycle-builder,anavar only cycle,outbound,Medium
/blog,/shop?q=anavar,anavar only cycle,outbound,Medium
/product/mk677-ibutamoren-liquid-25mg-30ml-syncom-labs,/category/sarms,buy mk677,outbound,High
/category/pct,/shop?q=letrozole,buy letrozole online,outbound,Medium
/category/fat-loss,/shop?q=yohimbine,yohimbine uk,outbound,Medium
/shop?q=anavar,/category/oral,buying anavar,outbound,Medium
/category/pct,/shop?q=clomid,clomifene tablets,outbound,Medium
/shop?q=liv+52,/category/pct,liv52,outbound,Medium
/product/tri-test-400-spharmaqo-labs,/brand/pharmaqo-labs,testosterone 400,outbound,Medium
/category/fat-loss,/product/clenbuterol-proper-labs,buy clenbuterol,outbound,High
/category/fat-loss,/,clenbuterol for sale,outbound,High
/product/caber-cabergoline-pharmaqo-labs-10tab-1mg,/,buy steroids uk,inbound,High
/product/caber-cabergoline-pharmaqo-labs-10tab-1mg,/category/pct,buy cabergoline uk,outbound,High
/category/hgh,/,hgh buy uk,outbound,High
/product/caber-cabergoline-pharmaqo-labs-10tab-1mg,/category/pct,cabaser,outbound,Medium
/blog/testosterone-base-vs-suspension,/shop?q=testosterone,test suspension,outbound,Medium
/shop?q=anavar,/category/oral,anavar for sale uk,outbound,High
/shop?q=trenbolone,/,buy steroids uk,inbound,High
/shop?q=trenbolone,/category/injectable,trenbolone uk,outbound,High
/shop?q=testosterone,/category/injectable,test 250,outbound,Medium
/product/needles-syringes,/,buy steroids uk,inbound,Medium
/product/needles-syringes,/category/accessories,needles for testosterone,outbound,Medium
/product/needles-syringes,/shop?q=testosterone,needles for testosterone,outbound,Medium
/category/sarms,/shop?q=mk677,mk677 buy,outbound,Medium
/category/accessories,/product/needles-syringes,buy syringes,outbound,Medium
/product/rad-140-testolone-liquid-25mg-30ml-syncom-labs,/,buy steroids uk,inbound,High
/product/rad-140-testolone-liquid-25mg-30ml-syncom-labs,/category/sarms,rad 140 uk,outbound,High
/shop?q=hcg,/category/pct,purchase hcg,outbound,Medium
/shop?q=hcg,/product/hcg-pharmaqolabs,hcg buy,outbound,Medium
/blog,/shop?q=anavar,anavar before after,outbound,Low
/category/pct,/faq,clomid uk boots,outbound,Low
/product/hcg-pharmaqolabs,/shop?q=hcg,order hcg,outbound,Medium
/shop?q=liv+52,/category/pct,liv 52 tablets,outbound,Medium
/category/pct,/shop?q=clomid,purchase clomid online,outbound,Medium
/product/igf1-lr3-pharmaqo,/category/peptides,igf lr3,outbound,Medium
/blog,/shop?q=anavar,anavar vs dianabol,outbound,Medium
/blog,/shop?q=dianabol,anavar vs dianabol,outbound,Medium
/category/pct,/product/clomid-proper-labs,clomid tablet price,outbound,Medium
/product/caber-cabergoline-pharmaqo-labs-10tab-1mg,/category/pct,buy cabergoline,outbound,Medium
/product/tri-test-400-spharmaqo-labs,/cycle-builder,test 400 cycle,outbound,Medium
/product/tri-test-400-spharmaqo-labs,/blog,test 400 cycle,outbound,Medium
/category/accessories,/product/hgh-syringe,needles for peptides,outbound,Medium
/category/pct,/,buy clomid online uk,outbound,Medium
/blog,/shop?q=deca,test and deca cycle,outbound,Medium
/blog,/shop?q=testosterone,test and deca cycle,outbound,Medium
/,/category/sarms,uk sarms,related,High
/,/product/bpc-157-pharmaqo-labs-5mg,bpc 157 uk,related,High
/,/category/pct,buy clomid uk,related,High
/,/category/hgh,hgh uk,related,High
/,/shop?q=anavar,buy anavar uk,related,High
/category/sarms,/product/mk677-ibutamoren-liquid-25mg-30ml-syncom-labs,mk677 uk,outbound,High
/category/sarms,/product/rad-140-testolone-liquid-25mg-30ml-syncom-labs,rad 140 uk,outbound,High
/category/peptides,/,uk steroid shop,inbound,High
/category/peptides,/product/bpc-157-pharmaqo-labs-5mg,bpc 157 uk,outbound,High
/category/peptides,/product/igf1-lr3-pharmaqo,igf 1 lr3,outbound,High
/category/pct,/product/hcg-pharmaqolabs,buy hcg,outbound,High
/category/hgh,/,steroid shop uk,inbound,High
/category/hgh,/category/hgh,buy hgh uk,outbound,Medium
/category/fat-loss,/category/fat-loss,buy clenbuterol,outbound,High
/product/clomid-pharmaqo-labs,/category/pct,buy clomid uk,outbound,High
/product/needles-syringes,/category/accessories,peptide needles,outbound,High
/faq,/about-us,uk steroids shop review,outbound,Medium
