Keyword,Volume,KD,Intent,Cluster,PrimaryURL,SecondaryURLs,Priority,SourceBatch,Status,Notes
anavar buy uk,590,26,transactional,anavar,/shop?q=anavar,/category/oral,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/anavar-50-pharmaqo-labs/
pharma labz,590,14,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
estrocontrol,590,11,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
first pct,590,15,informational,pct,/category/pct,/what-is-pct|/cycle-builder,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/pct/
ostavar,590,18,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
sarms4u,590,22,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
anavar uk buy,480,16,transactional,anavar,/category/oral,/shop?q=anavar,High,desktop-uk-20260912|gap-uk-20260913,mapped,"Desktop UK batch; competitor URL /product-category/anavar/ | Gap: competitor ranks P10, we unranked"
buy hcg,480,22,transactional,pct,/product/hcg-pharmaqolabs,/shop?q=hcg,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/hcg/
hgh uk,480,28,commercial,hgh,/category/hgh,/,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/growth-hormone/
steroxxe,480,23,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
buy anavar uk,480,28,informational,anavar,/shop?q=anavar,/category/oral|/,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/anavar/
stedsnmeds,480,26,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
delta sleep peptide,480,25,informational,peptides,/category/peptides,/shop?q=dsip,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/dsip-delta-sleep-inducing-peptide-5mg-syncom-labs/
pharmaqo labs review,480,7,commercial,pharmaqo,/brand/pharmaqo-labs,/about-us,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/manufacturers/pharmaqo-labs/
hcg peptide,480,16,informational,pct,/shop?q=hcg,/category/pct,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/hcg/
mt 2,480,27,informational,peptides,/product/mt-2-melanotan-10mg-pharmaqo-labs,/category/peptides,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/mt-2-melanotan-10mg-pharmaqo-labs/
lovegra,480,21,informational,kamagra,/product/lovegra-kamagra,/category/kamagra,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/lovegra-kamagra/
buy hgh uk,390,22,transactional,hgh,/category/hgh,/product/qomatropin-12mg-36iu-cartridge-pharmaqo-labs,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/growth-hormone/
buy clomid,390,26,transactional,pct,/category/pct,/product/clomid-pharmaqo-labs,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/clomid/
steroid sanctuary,390,26,navigational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
pharma labs uk,390,19,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
buy clomid uk,390,15,transactional,pct,/category/pct,/,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/clomid/
dunning labs,390,4,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
mk677 for sale,390,17,transactional,mk677,/category/sarms,/product/mk677-ibutamoren-liquid-25mg-30ml-syncom-labs,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/ibutamoren-mk-677/
dianabol before and after,590,24,informational,anavar,/blog,/shop?q=dianabol,Low,desktop-uk-20260912|gap-uk-20260913,mapped,"Desktop UK batch; competitor URL /blog/how-soon-do-you-see-results-from-dbol/ | Gap: competitor ranks P63, we unranked"
peptide needles,390,29,informational,accessories,/category/accessories,/product/needles-syringes|/product/hgh-syringe,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/hgh-syringe/
uk steroids shop review,390,29,commercial,uk-shop,/about-us,/faq|/,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /reviews/
lipomax uk,390,28,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
buy clomid online,390,28,transactional,pct,/category/pct,/shop?q=clomid,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/clomid/
test 300,320,8,"commercial, informational",testosterone,/product/testosterone-enanthate-proper-labs,/shop?q=testosterone,High,desktop-uk-20260912|gap-uk-20260913,mapped,"Desktop UK batch; competitor URL /shop/testosterone-enanthate-proper-labs/ | Gap: competitor ranks P19, we unranked"
testabol 400,320,3,informational,testosterone,/product/tri-test-400-spharmaqo-labs,/brand/pharmaqo-labs,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/tri-test-400-spharmaqo-labs/
buy hcg uk,320,23,transactional,pct,/product/hcg-pharmaqolabs,/category/pct,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/hcg-pharmaqolabs/
test 500,320,13,informational,testosterone,/shop?q=testosterone,/category/injectable,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/eq-test-500mg-pharmaqo-labs/
dianabol for sale uk,320,16,transactional,anavar,/product/dianabol25-proper-labs,/category/oral|/shop?q=dianabol,High,desktop-uk-20260912|gap-uk-20260913,mapped,"Desktop UK batch; competitor URL /shop/dianabol25-proper-labs/ | Gap: competitor ranks P7, we unranked"
anavar purchase,320,22,informational,anavar,/shop?q=anavar,/product/anavar10-proper-labs,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/anavar/
hcg 5000iu,320,29,informational,pct,/product/hcg-pharmaqolabs,/shop?q=hcg,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/hcg-eutrig-hp/
anavar only cycle,320,17,informational,anavar,/blog,/cycle-builder|/shop?q=anavar,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /
evo pharma,320,11,"commercial, informational",skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
buy mk677,320,22,transactional,mk677,/product/mk677-ibutamoren-liquid-25mg-30ml-syncom-labs,/category/sarms,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/ibutamoren-mk-677/
buy letrozole online,320,9,transactional,pct,/category/pct,/shop?q=letrozole,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/mono-femara-letrozole-50tabs-2-5mg-beligas-pharmaceuticals/
supreme steriods,320,14,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
yohimbine uk,320,13,informational,clen-fat-loss,/category/fat-loss,/shop?q=yohimbine,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/yohambine/
gelgra,320,3,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
buying anavar,320,13,informational,anavar,/shop?q=anavar,/category/oral,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/anavar/
clomifene tablets,320,29,informational,pct,/category/pct,/shop?q=clomid,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/clomid/
oralsonly,320,23,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
liv52,320,15,informational,pct,/shop?q=liv+52,/category/pct,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/himalaya-liv-52/
testosterone 400,260,5,informational,testosterone,/product/tri-test-400-spharmaqo-labs,/brand/pharmaqo-labs,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/tri-test-400-spharmaqo-labs/
buy clenbuterol,1300,9,transactional,clen-fat-loss,/category/fat-loss,/product/clenbuterol-proper-labs,High,desktop-uk-20260912|gap-uk-20260913,mapped,"Desktop UK batch; competitor URL /product-category/clenbuterol/ | Gap: competitor ranks P25, we unranked"
clenbuterol for sale,590,4,transactional,clen-fat-loss,/category/fat-loss,/,High,desktop-uk-20260912|gap-uk-20260913,mapped,"Desktop UK batch; competitor URL /product-category/clenbuterol/ | Gap: competitor ranks P31, we unranked"
buy cabergoline uk,260,5,transactional,pct,/product/caber-cabergoline-pharmaqo-labs-10tab-1mg,/category/pct,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/cabaser/
hgh buy uk,260,23,transactional,hgh,/category/hgh,/,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/growth-hormone/
cabaser,260,12,informational,pct,/product/caber-cabergoline-pharmaqo-labs-10tab-1mg,/category/pct,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/cabaser/
test suspension,260,28,informational,testosterone,/blog/testosterone-base-vs-suspension,/shop?q=testosterone,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /blog/testosterone-base-vs-testosterone-suspension-explained/
anavar for sale uk,260,3,transactional,anavar,/shop?q=anavar,/category/oral,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/anavar/
trenbolone uk,260,15,informational,tren,/shop?q=trenbolone,/category/injectable,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/trenbolone/
critical labs uk,260,12,commercial,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
test 250,260,28,informational,testosterone,/shop?q=testosterone,/category/injectable,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/testosterone-enan/
needles for testosterone,260,28,informational,accessories,/product/needles-syringes,/category/accessories|/shop?q=testosterone,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/needles-syringes/
pharmalabz,260,9,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
mk677 buy,260,22,transactional,mk677,/category/sarms,/shop?q=mk677,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/ibutamoren-mk-677/
buy syringes,260,22,transactional,accessories,/category/accessories,/product/needles-syringes,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/hgh-syringe/
masterolona,260,28,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
rad 140 uk,260,13,informational,mk677,/product/rad-140-testolone-liquid-25mg-30ml-syncom-labs,/category/sarms,High,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/pharmaqo-labs-rad/
purchase hcg,260,11,informational,pct,/shop?q=hcg,/category/pct,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/hcg/
hcg buy,260,22,transactional,pct,/shop?q=hcg,/product/hcg-pharmaqolabs,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/hcg/
anavar before after,260,24,informational,anavar,/blog,/shop?q=anavar,Low,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /blog/rapid-transformation-unveiling-impressive-anavar-results-after-just-2-weeks/
clomid uk boots,260,18,informational,pct,/category/pct,/faq,Low,desktop-uk-20260912,mapped,Brand-comparison SERP — do not impersonate Boots
order hcg,260,25,informational,pct,/product/hcg-pharmaqolabs,/shop?q=hcg,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/hcg/
stenabolic,260,28,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
liv 52 tablets,260,18,informational,pct,/shop?q=liv+52,/category/pct,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/himalaya-liv-52/
purchase clomid online,260,22,informational,pct,/category/pct,/shop?q=clomid,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/clomid/
igf lr3,260,23,informational,peptides,/product/igf1-lr3-pharmaqo,/category/peptides,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/igf1-lr3-pharmaqo/
carderine,260,28,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
anavar vs dianabol,260,24,commercial,anavar,/blog,/shop?q=anavar|/shop?q=dianabol,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /blog/anvarol-vs-anavar/
sea lions fat metaboliser,260,24,informational,skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
clomid tablet price,260,11,transactional,pct,/category/pct,/product/clomid-proper-labs,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/clomid/
peptiology uk,260,27,"navigational, transactional",skip,—,—,Skip,desktop-uk-20260912,skip,Competitor brand / junk / non-target
buy cabergoline,210,9,transactional,pct,/product/caber-cabergoline-pharmaqo-labs-10tab-1mg,/category/pct,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/cabaser/
test 400 cycle,210,10,informational,testosterone,/product/tri-test-400-spharmaqo-labs,/cycle-builder|/blog,Medium,desktop-uk-20260912|gap-uk-20260913,mapped,"Desktop UK batch; competitor URL /blog/test-400/ | Gap: competitor ranks P12, we unranked"
needles for peptides,210,28,informational,accessories,/category/accessories,/product/hgh-syringe,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /shop/hgh-syringe/
buy clomid online uk,210,18,transactional,pct,/category/pct,/,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /product-category/clomid/
test and deca cycle,210,13,informational,deca-boldenone,/blog,/shop?q=deca|/shop?q=testosterone|/cycle-builder,Medium,desktop-uk-20260912,mapped,Desktop UK batch; competitor URL /blog/deca-durabolin-cycle-guide/
dianabol for sale,1300,10,Informational,dianabol,/product/dianabol25-proper-labs,/shop?q=dianabol|/category/oral,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P71, us unranked); /product-category/dianabol/"
anadrol vs anavar,1000,24,Commercial,anavar,/blog,/shop?q=anavar|/shop?q=anadrol|/cycle-builder,High,gap-uk-20260913,briefed,Comparison blog brief
side effects of salbutamol,590,28,Informational,skip,—,—,Skip,gap-uk-20260913,skip,Out of scope / competitor / non-UK / junk gap term
steroid outlet,590,25,Navigational,skip,—,—,Skip,gap-uk-20260913,skip,Out of scope / competitor / non-UK / junk gap term
buy sustanon online,480,28,"Informational, Transactional",testosterone,/product/sustanon-250-proper-labs,/shop?q=sustanon|/category/injectable,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P70, us unranked); /product-category/sustanon/"
dbol before and after,480,22,Informational,dianabol,/blog,/shop?q=dianabol|/product/dianabol25-proper-labs,Medium,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P62, us unranked); /blog/how-soon-do-you-see-results-from-dbol/"
equipoise for sale,480,18,Informational,deca-boldenone,/product/boldenone-proper-labs,/shop?q=boldenone|/shop?q=equipoise,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P63, us unranked); /product-category/boldenone/"
order anavar,480,5,Informational,anavar,/shop?q=anavar,/category/oral|/product/anavar10-proper-labs,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P96, us unranked); /product-category/anavar/"
primobolan for sale,480,0,Transactional,primo,/product/primobolan-proper-labs,/shop?q=primobolan|/category/injectable,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P82, us unranked); /product-category/primobol/"
anabolic drugs for osteoporosis,390,21,Informational,skip,—,—,Skip,gap-uk-20260913,skip,Out of scope / competitor / non-UK / junk gap term
anavar where to buy,390,23,Informational,anavar,/shop?q=anavar,/category/oral|/,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P89, us unranked); /shop/anavar-10-pharmaqo-labs/"
best pct cycle to keep gains,390,4,Commercial,pct,/what-is-pct,/category/pct|/cycle-builder,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P55, us unranked); /blog/post-cycle-therapy-pct-what-you-need-to-know/"
dianabol before after,390,20,Informational,dianabol,/blog,/shop?q=dianabol,Medium,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P83, us unranked); /blog/dianabol-results-how-can-it-boost-your-gains/"
buy dbol,320,8,Transactional,dianabol,/product/dianabol25-proper-labs,/shop?q=dianabol|/category/oral,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P52, us unranked); /product-category/dianabol/"
deca durabolin for sale,320,7,"Informational, Transactional",deca-boldenone,/product/deca-300-nandrolone-decanoate-syncom-labs,/shop?q=deca,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P57, us unranked); /product-category/deca/"
buy boldenone online,260,0,Informational,deca-boldenone,/product/boldenone-proper-labs,/shop?q=boldenone,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P46, us unranked); /product-category/boldenone/"
buy dianabol,260,11,Transactional,dianabol,/product/dianabol25-proper-labs,/category/oral,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P68, us unranked); /product-category/dianabol/"
